state,district,month,total_enrol,total_demo_updates,total_bio_updates,total_updates,service_ratio
Andaman And Nicobar Islands,Andamans,2025-01,3.0,23.0,1019.0,1042.0,260.5
Andaman And Nicobar Islands,Andamans,2025-02,1.0,22.0,46.0,68.0,34.0
Andaman And Nicobar Islands,Andamans,2025-03,0.0,40.0,57.0,97.0,97.0
Andaman And Nicobar Islands,Andamans,2025-04,3.0,48.0,24.0,72.0,18.0
Andaman And Nicobar Islands,Andamans,2025-05,0.0,20.0,37.0,57.0,57.0
Andaman And Nicobar Islands,Andamans,2025-06,0.0,13.0,25.0,38.0,38.0
Andaman And Nicobar Islands,Andamans,2025-07,0.0,12.0,13.0,25.0,25.0
Andaman And Nicobar Islands,Andamans,2025-08,0.0,16.0,39.0,55.0,55.0
Andaman And Nicobar Islands,Andamans,2025-09,4.0,19.0,53.0,72.0,14.4
Andaman And Nicobar Islands,Andamans,2025-10,0.0,16.0,39.0,55.0,55.0
Andaman And Nicobar Islands,Andamans,2025-11,2.0,31.0,44.0,75.0,25.0
Andaman And Nicobar Islands,Andamans,2025-12,1.0,29.0,56.0,85.0,42.5
Andaman And Nicobar Islands,Andamans,NaT,59.0,266.0,483.0,749.0,12.483333333333333
Andaman And Nicobar Islands,Nicobars,2025-01,0.0,0.0,1.0,1.0,1.0
Andaman And Nicobar Islands,Nicobars,2025-02,0.0,0.0,1.0,1.0,1.0
Andaman And Nicobar Islands,Nicobars,2025-03,1.0,1.0,0.0,1.0,0.5
Andaman And Nicobar Islands,Nicobars,2025-04,0.0,1.0,0.0,1.0,1.0
Andaman And Nicobar Islands,Nicobars,NaT,0.0,1.0,0.0,1.0,1.0
Andaman And Nicobar Islands,South Andaman,2025-01,3.0,11.0,11.0,22.0,5.5
Andaman And Nicobar Islands,South Andaman,2025-02,0.0,9.0,10.0,19.0,19.0
Andaman And Nicobar Islands,South Andaman,2025-03,2.0,13.0,15.0,28.0,9.333333333333334
Andaman And Nicobar Islands,South Andaman,2025-04,2.0,6.0,13.0,19.0,6.333333333333333
Andaman And Nicobar Islands,South Andaman,2025-05,2.0,14.0,18.0,32.0,10.666666666666666
Andaman And Nicobar Islands,South Andaman,2025-06,0.0,4.0,7.0,11.0,11.0
Andaman And Nicobar Islands,South Andaman,2025-07,0.0,7.0,4.0,11.0,11.0
Andaman And Nicobar Islands,South Andaman,2025-08,1.0,7.0,15.0,22.0,11.0
Andaman And Nicobar Islands,South Andaman,2025-09,0.0,3.0,7.0,10.0,10.0
Andaman And Nicobar Islands,South Andaman,2025-10,0.0,10.0,13.0,23.0,23.0
Andaman And Nicobar Islands,South Andaman,2025-11,3.0,14.0,19.0,33.0,8.25
Andaman And Nicobar Islands,South Andaman,2025-12,1.0,7.0,18.0,25.0,12.5
Andaman And Nicobar Islands,South Andaman,NaT,23.0,131.0,174.0,305.0,12.708333333333334
Andaman And Nicobar Islands,Nicobar,2025-01,12.0,221.0,1047.0,1268.0,97.53846153846152
Andaman And Nicobar Islands,Nicobar,2025-02,5.0,28.0,61.0,89.0,14.833333333333334
Andaman And Nicobar Islands,Nicobar,2025-03,2.0,23.0,49.0,72.0,24.0
Andaman And Nicobar Islands,Nicobar,2025-04,4.0,8.0,51.0,59.0,11.8
Andaman And Nicobar Islands,Nicobar,2025-05,0.0,7.0,40.0,47.0,47.0
Andaman And Nicobar Islands,Nicobar,2025-06,0.0,6.0,43.0,49.0,49.0
Andaman And Nicobar Islands,Nicobar,2025-07,0.0,4.0,14.0,18.0,18.0
Andaman And Nicobar Islands,Nicobar,2025-08,2.0,18.0,49.0,67.0,22.33333333333333
Andaman And Nicobar Islands,Nicobar,2025-09,2.0,14.0,40.0,54.0,18.0
Andaman And Nicobar Islands,Nicobar,2025-10,7.0,6.0,26.0,32.0,4.0
Andaman And Nicobar Islands,Nicobar,2025-11,1.0,8.0,46.0,54.0,27.0
Andaman And Nicobar Islands,Nicobar,2025-12,2.0,18.0,31.0,49.0,16.333333333333332
Andaman And Nicobar Islands,Nicobar,NaT,37.0,139.0,258.0,397.0,10.447368421052632
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,4.0,466.0,4176.0,4642.0,928.4
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,4.0,36.0,143.0,179.0,35.8
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,6.0,56.0,65.0,121.0,17.285714285714285
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,3.0,30.0,59.0,89.0,22.25
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,1.0,19.0,80.0,99.0,49.5
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,3.0,33.0,58.0,91.0,22.75
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,1.0,22.0,35.0,57.0,28.5
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,5.0,24.0,66.0,90.0,15.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,8.0,36.0,96.0,132.0,14.666666666666666
